policy,knowledge,objective,min_gain_sec,max_count_imbalance,p50,p95,p99,ttft_p50,ttft_p95,ttft_p99,tokens_per_sec,mean_gpu_busy,mean_slot_occupancy,pending_p95,waiting_p95,waiting_fraction,assignments,max_pending,overrides,seed
round_robin,prior,completion,0.0,1000000000,9.367653601790302,35.7121669465886,44.131392333074544,0.0891630050639769,9.250235357010457,13.146287412547991,714.5277030364435,0.9371338769312139,0.5513792059196472,85.05000000000001,37.05000000000001,0.8,"[150, 150]","[49, 52]",0,0
queue_size,prior,completion,0.0,1000000000,9.272265304136154,36.55866450502191,44.29809219351024,0.09091767013920737,8.796379697998255,12.372523828446894,716.3623221964301,0.9436948592026493,0.551760719141636,82.05000000000001,34.05000000000001,0.7933333333333333,"[151, 149]","[48, 49]",0,0
least_work,oracle,completion,0.0,1000000000,9.136827664643567,36.25184158861922,43.687906666342585,0.09293840653333163,9.189151170880661,12.39722754527319,729.6003351755081,0.9520844200226167,0.5624772017907167,82.0,34.0,0.81,"[143, 157]","[46, 51]",134,0
completion_oracle,oracle,completion,0.0,1000000000,9.338528848879207,35.89183887751435,43.4141877680283,0.09506079054086669,8.780259291217268,12.520098332692466,730.2490346798552,0.9626225114516787,0.560964012436436,82.05000000000001,34.05000000000001,0.7966666666666666,"[146, 154]","[47, 50]",116,0
ttft_oracle,oracle,ttft,0.0,1000000000,9.254156194614929,36.2759411137798,43.811291726315574,0.09401991989365399,8.775260770203667,12.323244844078305,722.247681598872,0.9479877146818986,0.5578883635868002,82.0,34.0,0.7866666666666666,"[162, 138]","[54, 42]",148,0
completion_helix,helix,completion,0.0,1000000000,9.178966978297254,35.690151731101246,44.65893336319823,0.09406146746423616,8.760754198782575,12.385372172341189,735.3800856554674,0.9579761191859155,0.5616176168113574,82.05000000000001,34.05000000000001,0.79,"[161, 139]","[54, 45]",146,0
ttft_helix,helix,ttft,0.0,1000000000,9.211201271429921,35.79815688960926,43.19847188320656,0.0909632358703032,8.743966152274707,13.029641824552918,729.6869540247578,0.9629376217709922,0.5622682362031612,82.05000000000001,34.05000000000001,0.7933333333333333,"[152, 148]","[48, 49]",131,0
guarded_ttft_helix,helix,ttft,0.0,0,9.534808248348252,36.37283814026127,43.23707829744796,0.09408084956427043,8.96679650011787,12.324959907563624,727.0825724803738,0.9458973044131869,0.5598016803035453,83.0,35.0,0.8033333333333333,"[143, 157]","[48, 49]",77,0
guarded_ttft_oracle,oracle,ttft,0.0,0,9.463008220346193,36.38900595771176,43.15019754770678,0.09502122295022275,8.958593513868351,12.333229594071458,717.3232616167181,0.938328302788287,0.5519774810024795,83.0,35.0,0.7966666666666666,"[146, 154]","[49, 48]",88,0
guarded_ttft_helix,helix,ttft,0.25,0,9.301919315333398,35.743641138167014,43.70489421456685,0.089875207488614,8.71216815078053,12.555483013074516,726.0719823646708,0.9570468380089653,0.5588109269050547,82.05000000000001,34.05000000000001,0.7866666666666666,"[156, 144]","[49, 48]",16,0
