policy,knowledge,objective,min_gain_sec,max_count_imbalance,n_seeds,p50,p95,p99,ttft_p50,ttft_p95,ttft_p99,tokens_per_sec,mean_gpu_busy,mean_slot_occupancy,pending_p95,waiting_p95,waiting_fraction,overrides,p95_delta_vs_queue_sec,ttft_p95_delta_vs_queue_sec
guarded_completion_helix,helix,completion,0.75,0,3,13.849592055869266,39.845162133670414,46.91360783405114,3.1091176052426,12.164864940639966,15.798534393222434,781.9659135822748,0.9476512885475117,0.6150152971086612,94.38333333333334,46.38333333333335,0.84,27.0,0.0010887331935904854,-0.5268688383883013
guarded_completion_helix,helix,completion,0.0,0,3,14.081497193343582,39.81279306554405,46.78885884611774,2.9210815170256037,12.179183050926218,15.44133044967954,785.4937699574089,0.9468496506619211,0.6170307755880666,95.36666666666667,47.366666666666674,0.8444444444444444,62.0,-0.03128033493277371,-0.5125507281020489
guarded_ttft_oracle,oracle,ttft,0.0,2,3,14.169341397649122,39.86002243308138,46.864326513055055,3.0927642706152416,12.2282900642588,14.947157485811283,787.4534576892214,0.9488678560032303,0.6194611338809352,94.71666666666668,46.716666666666676,0.831111111111111,128.33333333333334,0.015949032604559932,-0.46344371476946655
guarded_ttft_oracle,oracle,ttft,0.0,0,3,14.197191147027391,40.17389081543373,46.650427984512675,2.9962829421149433,12.262742092125015,15.351804304419831,782.0506040078268,0.9426795504307326,0.6144085709782204,95.0,47.0,0.8388888888888889,76.0,0.3298174149569064,-0.4289916869032524
guarded_completion_oracle,oracle,completion,0.25,2,3,13.91925671798159,40.442239076377746,46.89284711179091,3.015819065788398,12.341848493206967,14.789522490382518,788.4456617018619,0.9569989243367116,0.6181114753991023,95.03333333333335,47.03333333333334,0.8433333333333333,70.33333333333333,0.5981656759009226,-0.3498852858212995
guarded_completion_oracle,oracle,completion,0.25,1,3,14.023012992504142,39.9023503067426,46.82946579243161,3.0156376238633595,12.358054849090067,14.910502748071963,790.3506322827499,0.9576899837587834,0.6198662559785069,94.71666666666668,46.716666666666676,0.8444444444444444,67.66666666666667,0.05827690626577464,-0.33367892993820014
guarded_completion_oracle,oracle,completion,0.0,1,3,13.883831971982588,40.33590914388056,46.952641302334655,3.0722760013203327,12.362866158397294,14.824713391805519,786.8775776570019,0.9567647424418667,0.6176266624432962,95.05000000000001,47.05000000000001,0.8422222222222223,104.33333333333333,0.49183574340374037,-0.3288676206309731
guarded_completion_helix,helix,completion,0.75,1,3,13.898707312641442,39.802160760132665,46.21621066187735,3.0960227011011696,12.383829670120411,15.7119992294177,786.5570528398954,0.9490434357334797,0.6171908649882181,94.7,46.70000000000001,0.84,55.666666666666664,-0.04191264034415809,-0.3079041089078558
guarded_ttft_oracle,oracle,ttft,0.25,2,3,13.936402234863726,40.15682284221922,47.323095738055834,3.0328798759222324,12.394081607093872,14.466203148165654,779.0479399976879,0.9399420747461913,0.6136576615208297,94.7,46.70000000000001,0.8377777777777778,52.666666666666664,0.3127494417423975,-0.29765217193439497
guarded_completion_oracle,oracle,completion,0.75,0,3,13.967396108804676,39.80414038852414,46.377506853880554,3.0211497313335713,12.40827004433774,14.753652326839974,784.4034128804801,0.9463484839641237,0.616012779393364,95.01666666666667,47.01666666666667,0.8411111111111111,32.333333333333336,-0.03993301195268373,-0.28346373469052644
guarded_ttft_helix,helix,ttft,0.75,0,3,13.918013904357204,40.31543578498252,46.497375773869614,3.0131089922841308,12.424401987070544,16.160174009675963,779.6495873607588,0.9445012237696151,0.6122676681211091,94.03333333333335,46.03333333333334,0.8366666666666666,20.0,0.4713623845056958,-0.26733179195772294
guarded_completion_helix,helix,completion,0.25,0,3,13.816690428977665,40.5381835945145,46.708784449656555,2.9292769878572904,12.448230722837645,15.42673907813539,781.2019783129325,0.9453538560705453,0.613072663689579,94.36666666666667,46.366666666666674,0.8322222222222222,42.0,0.6941101940376768,-0.2435030561906224
guarded_ttft_oracle,oracle,ttft,0.25,0,3,13.940864173445418,40.17431915341418,45.882824638056995,3.0295110019971028,12.45070820881982,15.04076401901254,777.8093466230488,0.9383496832132526,0.6113021128663222,94.38333333333334,46.38333333333335,0.8388888888888889,25.333333333333332,0.33024575293735836,-0.24102557020844628
guarded_completion_oracle,oracle,completion,0.0,2,3,13.93114729061648,40.124609995974055,46.72109095686108,3.04698900770004,12.465622217176412,14.525717058137191,792.9050364471456,0.9632104659216388,0.6213114672904482,94.7,46.70000000000001,0.8444444444444444,112.0,0.28053659549723164,-0.22611156185185521
completion_oracle,oracle,completion,0.0,1000000000,3,13.892871679802818,40.100132396839975,46.66757433625474,3.0488304310639145,12.468085474197517,14.519648000927916,792.7961388080965,0.9629874992569872,0.6211542901453425,95.03333333333335,47.03333333333334,0.8433333333333334,112.33333333333333,0.25605899636315144,-0.22364830483074982
ttft_oracle,oracle,ttft,0.0,1000000000,3,14.147965835161196,40.22508797967118,47.32646329799547,3.028051154301243,12.47214582667096,14.46226675033443,785.1092912156228,0.9476692209573269,0.6194307239573651,95.03333333333335,47.03333333333334,0.84,138.0,0.3810145791943569,-0.21958795235730655
guarded_ttft_oracle,oracle,ttft,0.75,0,3,14.016346556141515,39.98750604958573,46.21128734574228,3.0286954342490433,12.473152626477932,15.165150577764583,783.0116068277933,0.9458164621539474,0.6150814749534322,95.01666666666667,47.01666666666667,0.8377777777777777,22.666666666666668,0.14343264910890952,-0.2185811525503354
guarded_completion_helix,helix,completion,0.25,2,3,14.00337748686245,39.55241378996649,46.514301781979434,3.0073840225294215,12.47443583654506,14.852664048362016,786.2743422970389,0.9478560939351869,0.6165843777955663,95.01666666666667,47.01666666666667,0.8433333333333334,101.0,-0.2916596105103366,-0.21729794248320644
guarded_completion_oracle,oracle,completion,0.75,2,3,13.931958962685835,40.058079033034055,46.88040193329717,3.015584513520904,12.474858148077312,14.586598635728699,789.467102854912,0.9553719428826395,0.6196720114545498,94.71666666666668,46.716666666666676,0.8388888888888889,38.0,0.2140056325572317,-0.2168756309509554
completion_helix,helix,completion,0.0,1000000000,3,14.052782008534857,39.90426306646551,46.749053075408504,2.9902975909211826,12.488597765607608,14.866748821626473,782.5090871249173,0.9418330843985873,0.6154095410295426,95.01666666666667,47.01666666666667,0.8366666666666666,118.66666666666667,0.06018966598868758,-0.203136013420659
guarded_ttft_helix,helix,ttft,0.0,0,3,14.00986400868518,40.7159829066133,47.02119599595037,2.992438098203877,12.507365747959296,15.373012043274434,776.6468492573418,0.9401699177460476,0.6100434200845074,95.68333333333334,47.68333333333334,0.8422222222222221,70.0,0.8719095061364754,-0.1843680310689706
guarded_completion_oracle,oracle,completion,0.75,1,3,14.004737501283527,40.063940091266296,46.63083038590079,3.017659651616217,12.514627571904484,14.618518161708872,791.677100951897,0.9585416468540963,0.6207052188937942,94.7,46.70000000000001,0.8411111111111111,37.333333333333336,0.2198666907894733,-0.17710620712378322
guarded_ttft_helix,helix,ttft,0.25,1,3,13.884645879404038,40.0877106943065,46.14696657987707,2.912878523458874,12.519322079864942,15.14676854044904,785.4648385786159,0.9495549401575722,0.616759757653445,94.7,46.70000000000001,0.8366666666666666,49.333333333333336,0.24363729382967847,-0.17241169916332488
guarded_completion_helix,helix,completion,0.0,2,3,13.924933553843628,40.1264928832591,47.036001645629106,2.9965725260609646,12.545945568443669,15.257444366616378,781.7513194966209,0.9459954966269536,0.6142967782783096,95.01666666666667,47.01666666666667,0.8411111111111111,113.33333333333333,0.2824194827822737,-0.14578821058459823
guarded_ttft_helix,helix,ttft,0.25,0,3,13.885208108211552,40.0523578913933,46.78404847565503,3.005520989708797,12.556766626133383,16.292671083242855,777.9690590714412,0.9432351502705147,0.611286916687685,95.36666666666667,47.366666666666674,0.8366666666666666,28.666666666666668,0.20828449091647627,-0.13496715289488392
guarded_ttft_oracle,oracle,ttft,0.25,1,3,13.9404397093705,39.87171578483472,46.923873096611544,3.022287171477713,12.58585147659317,14.905779353794749,785.6488412699791,0.9505766347559584,0.6176369497978674,94.35000000000001,46.35,0.8366666666666666,53.333333333333336,0.027642384357896788,-0.10588230243509678
guarded_completion_oracle,oracle,completion,0.0,0,3,14.007831275053235,40.22560597715813,46.95382288114152,3.0417725306642516,12.59079340694138,15.529400302751888,791.8146051899757,0.961409257331921,0.6216308086802725,94.7,46.70000000000001,0.8411111111111111,72.66666666666667,0.3815325766813089,-0.10094037208688711
guarded_ttft_helix,helix,ttft,0.25,2,3,13.834209343264027,39.7805139234056,46.594479762708694,2.924917997851376,12.593034318156938,15.312624341364417,789.288092557296,0.9538577521196995,0.6190196697240422,94.36666666666667,46.366666666666674,0.8366666666666666,48.333333333333336,-0.06355947707122311,-0.09869946087132853
guarded_ttft_helix,helix,ttft,0.0,1,3,14.110782674370734,40.441783320781404,46.92772523831729,3.068578595812117,12.594269389267751,15.659808855404828,789.2105162377034,0.9527362918881318,0.6211443694359834,94.7,46.70000000000001,0.8333333333333334,119.66666666666667,0.597709920304581,-0.09746438976051586
guarded_ttft_oracle,oracle,ttft,0.75,1,3,14.042302519833546,39.871234357340306,46.158919075343995,3.0258200983099983,12.594461268942462,15.297478661533702,785.5269472290256,0.9505743439408715,0.6167069242904815,95.03333333333335,47.03333333333334,0.8366666666666666,43.0,0.027160956863482966,-0.09727251008580495
least_work,oracle,completion,0.0,1000000000,3,13.890660436185442,39.706330271769794,46.721040018090044,3.127584421810075,12.61900730588115,14.780163257027633,793.0699623888441,0.9595720871002175,0.622599788093528,94.68333333333334,46.68333333333334,0.8533333333333334,140.66666666666666,-0.13774312870702943,-0.07272647314711733
guarded_ttft_helix,helix,ttft,0.75,2,3,14.017979094683385,40.44395485944667,47.25160452950902,2.9734964794660264,12.642713421902599,15.205867628544572,780.2342411686599,0.9440516540722262,0.613827052563353,94.03333333333335,46.03333333333334,0.8366666666666666,35.333333333333336,0.5998814589698469,-0.04902035712566821
guarded_completion_helix,helix,completion,0.75,2,3,13.977426302779937,39.96452538892225,46.92943954629242,3.0984965929529498,12.648779597434524,14.995413180927343,783.9840510484706,0.9449436837508527,0.6160858669825471,94.01666666666667,46.01666666666667,0.8411111111111111,62.666666666666664,0.12045198844542426,-0.042954181593742646
