policy,knowledge,objective,min_gain_sec,max_count_imbalance,p50,p95,p99,ttft_p50,ttft_p95,ttft_p99,tokens_per_sec,mean_gpu_busy,mean_slot_occupancy,pending_p95,waiting_p95,waiting_fraction,assignments,max_pending,overrides,seed
round_robin,prior,completion,0.0,1000000000,9.367653601790302,35.7121669465886,44.131392333074544,0.0891630050639769,9.250235357010457,13.146287412547991,714.5277030364435,0.9371338769312139,0.5513792059196472,85.05000000000001,37.05000000000001,0.8,"[150, 150]","[49, 52]",0,0
queue_size,prior,completion,0.0,1000000000,9.272265304136154,36.55866450502191,44.29809219351024,0.09091767013920737,8.796379697998255,12.372523828446894,716.3623221964301,0.9436948592026493,0.551760719141636,82.05000000000001,34.05000000000001,0.7933333333333333,"[151, 149]","[48, 49]",0,0
least_work,oracle,completion,0.0,1000000000,9.136827664643567,36.25184158861922,43.687906666342585,0.09293840653333163,9.189151170880661,12.39722754527319,729.6003351755081,0.9520844200226167,0.5624772017907167,82.0,34.0,0.81,"[143, 157]","[46, 51]",134,0
completion_oracle,oracle,completion,0.0,1000000000,9.338528848879207,35.89183887751435,43.4141877680283,0.09506079054086669,8.780259291217268,12.520098332692466,730.2490346798552,0.9626225114516787,0.560964012436436,82.05000000000001,34.05000000000001,0.7966666666666666,"[146, 154]","[47, 50]",116,0
ttft_oracle,oracle,ttft,0.0,1000000000,9.254156194614929,36.2759411137798,43.811291726315574,0.09401991989365399,8.775260770203667,12.323244844078305,722.247681598872,0.9479877146818986,0.5578883635868002,82.0,34.0,0.7866666666666666,"[162, 138]","[54, 42]",148,0
completion_helix,helix,completion,0.0,1000000000,9.128158031585045,35.828735548589066,42.762980767236556,0.08878260579413322,8.65695012799006,12.671641970125684,713.1277031791539,0.9322993701053286,0.5509991620981722,82.0,34.0,0.7833333333333333,"[149, 151]","[47, 49]",131,0
ttft_helix,helix,ttft,0.0,1000000000,9.307334879620765,36.61729548971226,42.92661778919757,0.08769176627253472,8.797516238787237,12.304186479765413,730.0099006075754,0.9520908472438707,0.5624141768429896,82.0,34.0,0.7933333333333333,"[153, 147]","[48, 48]",139,0
guarded_ttft_helix,helix,ttft,0.0,0,9.55568185604305,36.37827344301388,43.737533162271376,0.09502122295022275,8.950082041778435,12.792349606473126,717.3155581197667,0.9382252606864794,0.5519006065935439,83.0,35.0,0.8033333333333333,"[144, 156]","[48, 49]",74,0
guarded_ttft_oracle,oracle,ttft,0.0,0,9.463008220346193,36.38900595771176,43.15019754770678,0.09502122295022275,8.958593513868351,12.333229594071458,717.3232616167181,0.938328302788287,0.5519774810024795,83.0,35.0,0.7966666666666666,"[146, 154]","[49, 48]",88,0
guarded_ttft_helix,helix,ttft,0.25,0,9.239690892697537,35.53206907628945,43.75684084124227,0.089875207488614,8.829915904514957,12.734611690675656,719.3905070337247,0.9477598866802546,0.5534744292450633,82.05000000000001,34.05000000000001,0.7866666666666666,"[156, 144]","[49, 48]",31,0
